FoldablePackagePolicy,2021121601,,
135,com.selvas.fr,displayCompat,b
136,com.ultimateguitar.tabs,displayCompat,b
137,com.absolutist.samsung.timegap,displayCompat,b
138,com.liv.hdcam,displayCompat,b
139,com.gameloft.android.GAND.GloftUG95,displayCompat,b
140,br.com.tricae,displayCompat,b
141,com.productmadness.hovmobile,displayCompat,b
142,com.lemongame.klondike.solitaire,displayCompat,b
143,shooter.two.purple,displayCompat,b
144,example.fiipag.tools.video,displayCompat,b
145,com.ulta,displayCompat,b
146,com.ballytechnologies.quickhitslots,displayCompat,b
147,com.ddi,displayCompat,b
148,com.match.android.matchmobile,displayCompat,b
149,com.tdx.AndroidNew,displayCompat,b
150,com.mcdonalds.gma.hongkong,displayCompat,b
151,com.nwfb,displayCompat,b
152,com.garena.game.fctw,displayCompat,b
153,hk.com.android.jhc,displayCompat,b
154,kr.co.youfirst.start,displayCompat,b
155,com.facebook.lite,displayCompat,b
156,com.diotek.diodict4.Edictionary,displayCompat,b
157,free.coolsounds.rivex,displayCompat,b
158,com.blumedialab.radiolite,displayCompat,b
159,com.absolutist.twilighttown,displayCompat,b
160,com.absolutist.samsung.citydetective,displayCompat,b
161,com.galaxy.fallensouls,displayCompat,b
162,com.hg.cloudsandsheepsamsungfree,displayCompat,b
163,com.stencyl.rowdywrestling,displayCompat,b
164,com.sinyee.babybus.babyhospital,displayCompat,b
165,com.mobirix.ludo,displayCompat,b
166,com.mario.bros.adventure.free,displayCompat,b
167,air.com.peppapig.paintbox,displayCompat,b
168,com.youai.qile.haiwai.samsung,displayCompat,b
169,air.MSPMobile,displayCompat,b
170,com.fridaysgames.godsandglory,displayCompat,b
171,pl.netigen.photoeditor,displayCompat,b
172,air.com.shirogames.evoland12,displayCompat,b
173,com.gismart.realpianofree.samsung,displayCompat,b
174,com.tencent.ibg.joox,displayCompat,b
175,com.slimcricket.sorcieresansnom,displayCompat,b
176,com.spacegame.solitaire.spider,displayCompat,b
177,com.outfit7.talkingtom,displayCompat,b
178,net.peakgames.mobile.spades.android,displayCompat,b
179,com.babycenter.pregnancytracker,displayCompat,b
180,com.metropcs.metrozone,displayCompat,b
181,com.app.downloadmanager,displayCompat,b
182,com.google.android.apps.plus,displayCompat,b
183,com.yanflex.craigslist,displayCompat,b
184,com.emn8.mobilem8.nativeapp,displayCompat,b
185,com.playstudios.myvegas,displayCompat,b
186,com.shinhancard.smartshinhan,displayCompat,b
187,com.brianbaek.popstar,displayCompat,b
188,com.ncsoft.lineagem19,displayCompat,b
189,com.fok.fundsupermarket,displayCompat,b
190,com.rummikubfree,displayCompat,b
191,flipboard.app,displayCompat,b
192,com.williamsinteractive.jackpotparty,displayCompat,b
193,com.gismart.guitar,displayCompat,b
194,com.esportshooting.fps.thekillbox.ss,displayCompat,b
195,nz.co.codepoint.minimetro,displayCompat,b
196,air.com.pixelfederation.TrainStationGame,displayCompat,b
197,com.onecwireless.mahjong.free.samsung,displayCompat,b
198,kidgames.christmas.pack,displayCompat,b
199,com.emart.today,displayCompat,b
200,com.homescreen.phone.theme,displayCompat,b
201,com.kedoo.talkingboobaselfie,displayCompat,b
202,com.sum.fs2,displayCompat,b
203,com.netease.h2na.android,displayCompat,b
204,com.hg.gunsandglory2samsungfree,displayCompat,b
205,com.absolutist.hiddennumbers,displayCompat,b
206,com.bigbluebubble.jammin,displayCompat,b
207,com.sncf.ouigo,displayCompat,b
208,com.androbaby.game2048,displayCompat,b
209,com.ray3d.shootsniper,displayCompat,b
210,us.pinguo.selfie,displayCompat,b
211,com.nono.android,displayCompat,b
212,com.forshared,displayCompat,b
213,bubble.escape,displayCompat,b
214,com.aufeminin.marmiton,displayCompat,b
215,com.sap.edit.pro,displayCompat,b
216,com.link.messages.sms,displayCompat,b
217,com.crsh.transmute.robotsuperhero,displayCompat,b
218,com.privalia.it,displayCompat,b
219,com.evideo.MobileKTV,displayCompat,b
220,com.dangdang.reader,displayCompat,b
221,com.hanssem.mall,displayCompat,b
222,com.finnq.f1,displayCompat,b
223,com.gameinsight.mycountry2020.samsung,displayCompat,b
224,com.virtualmaze.drivingroutefinder,displayCompat,b
225,com.dotemu.rtype,displayCompat,b
226,com.worms2armageddon.apptnb,displayCompat,b
227,com.headupgames.dubdashtnb,displayCompat,b
228,com.redefine.welike,displayCompat,b
229,com.languagedrops.drops.international,displayCompat,b
230,pl.netigen.bestkeyboardpiano,displayCompat,b
231,com.gameinsight.crtd.samsung,displayCompat,b
