FoldablePackagePolicy,2021121601,,
594,com.linkdesks.jewellegend,displayCompat,b
595,com.dnddream.headsoccer.android,displayCompat,b
596,com.appynation.wbpc,displayCompat,b
597,com.bible.kids,displayCompat,b
598,com.chillingo.incrediblejack.android.rowgplay1,displayCompat,b
599,br.com.edeploy.gol.checkin.activities,displayCompat,b
600,com.iscoolentertainment.snc,displayCompat,b
601,com.eyu.piano,displayCompat,b
602,games.spearmint.triplecrush,displayCompat,b
603,com.manmanbuy.bijia,displayCompat,b
604,com.monomob.omok,displayCompat,b
605,com.lionstudios.mrbullet,displayCompat,b
606,air.net.ideasam.games.cat,displayCompat,b
607,com.dongbusec.xts,displayCompat,b
608,com.vng.ngoisaothoitrang,displayCompat,b
609,com.global.wfwd.google,displayCompat,b
610,com.wsy.google.wansuiye.kr,displayCompat,b
611,kr.co.adt.fnsys.viewguard,displayCompat,b
612,com.lx.restoria,displayCompat,b
613,com.ohbibi.fps,displayCompat,b
614,com.smartscore.rawady.smartscore,displayCompat,b
615,com.shinhan.smartcaremgr,displayCompat,b
616,com.elz.secondhandstore,displayCompat,b
617,semaphore.stockclient,displayCompat,b
618,com.spacegame.homedesign,displayCompat,b
619,com.nani.ego.kr.aos,displayCompat,b
620,com.bandainamcoent.imas_millionlive_theaterdays_kr,displayCompat,b
621,kr.rapportlabs.damoa,displayCompat,b
622,com.kebhana.hanapush,displayCompat,b
623,gov.incheon.incheonercard,displayCompat,b
624,com.kbcard.kat.liivmate,displayCompat,b
625,com.hyundai.capital,displayCompat,b
626,com.banhala.android,displayCompat,b
627,com.wayfair.wayfair,displayCompat,b
628,com.knb.psb,displayCompat,b
629,com.xmobile.wowradio,displayCompat,b
630,com.ssfshop.app,displayCompat,b
631,kr.co.burgerkinghybrid,displayCompat,b
632,com.miraeasset.global,displayCompat,b
633,puzzle.blockpuzzle.cube.relax,displayCompat,b
634,com.designkeyboard.keyboard,displayCompat,b
635,com.smg.spbs,displayCompat,b
636,com.roadplus.android2,displayCompat,b
637,gov.ca.lot.caLotteryApp,displayCompat,b
638,com.tencent.tmgp.kr.codm,displayCompat,b
639,com.meiliyue,displayCompat,b
640,com.baidu.baidutranslate,displayCompat,b
641,com.mybank.android.phone,displayCompat,b
642,com.tmmt.innersect,displayCompat,b
643,com.lion.market,displayCompat,b
644,com.dct.suzhou,displayCompat,b
645,com.pubg.krmobile,displayCompat,b
646,com.kbcard.kbkookmincard,displayCompat,b
647,com.hyundaicard.appcard,displayCompat,b
648,com.sejel.eatamrna,displayCompat,b
649,com.masomo.basketballarena,displayCompat,b
650,air.com.lunime.gachaclub,displayCompat,b
651,com.grandegames.slots.dafu.casino,displayCompat,b
652,com.riotgames.mobile.leagueconnect,displayCompat,b
653,com.diamondlife.slots.vegas.free,displayCompat,b
654,bbc.mobile.news.ww,displayCompat,b
655,com.takimi.android,displayCompat,b
656,com.whoshere.whoshere,displayCompat,b
657,air.com.pixelfederation.diggy,displayCompat,b
658,com.Etisalat.ETIDA ,displayCompat,b
659,com.accuweather.android,displayCompat,b
660,com.usablenet.mobile.walgreen,displayCompat,b
661,com.wf.wellsfargomobile,displayCompat,b
662,pl.wp.android.openfm,displayCompat,b
663,com.noon.nownow,displayCompat,b
664,com.secureweb,displayCompat,b
665,com.s4m,displayCompat,b
666,com.echannels.moismartservices,displayCompat,b
667,com.mytona.cookingdiary.android,displayCompat,b
668,com.b2winc.amedigital,displayCompat,b
669, comcom.perplelab.dragonvillagem.kr,displayCompat,b
670,com.aibang.bjtraffic,displayCompat,b
671,com.myklarnamobile,displayCompat,b
672,com.jellybus.Moldiv,displayCompat,b
673,com.bigsol.topcard,displayCompat,b
674,com.citiccard.mobilebank,displayCompat,b
675,com.jdd.motorfans,displayCompat,b
676,com.videogo,displayCompat,b
677,com.sjkl.ovh,displayCompat,b
678,com.huawifi.wifikeyys,displayCompat,b
679,cn.missfresh.application,displayCompat,b
680,com.yitong.zjrc.mfs.android,displayCompat,b
681,com.basern,displayCompat,b
682,com.Webtour,displayCompat,b
683,kr.co.dany.threelinediary,displayCompat,b
684,kr.go.kdca.coov,displayCompat,b
685,com.hxb.mobile.client,displayCompat,b
686,cn.edaijia.android.client,displayCompat,b
687,com.wepie.snake,displayCompat,b
688,com.popcap.pvz2cthdsx,displayCompat,b
689,io.gbike.gcooter,displayCompat,b
690,com.bbumgames.spadesroyale,displayCompat,b
691,com.nanotribe.games.cashier3d,displayCompat,b
692,com.unity.luckydiamond,displayCompat,b
693,com.topultragame.slotlasvega,displayCompat,b
694,com.roku.remote,displayCompat,b
695,com.leoao.fitness,displayCompat,b
696,com.agoda.mobile.consumer,displayCompat,b
697,com.greenpoint.android.mc10086.activity,displayCompat,b
698,com.samsung.android.app.galaxyfinder,displayCompat,w
699,com.samsung.android.app.aodservice,displayCompat,w
700,com.samsung.android.app.telephonyui,displayCompat,w
701,com.samsung.android.spay,displayCompat,w
702,com.sec.android.app.shealth,displayCompat,w
703,com.samsung.android.lool,displayCompat,w
704,com.sec.android.automotive.drivelink,displayCompat,w
705,com.samsung.android.visionintelligence,displayCompat,w
706,com.samsung.android.app.reminder,displayCompat,w
707,com.samsung.android.calendar,displayCompat,w
708,com.samsung.android.coldwalletservice,displayCompat,w
709,com.samsung.android.aremoji,displayCompat,w
710,com.samsung.android.authfw,displayCompat,w
711,com.samsung.android.game.gamehome,displayCompat,w
712,com.sec.android.app.voicenote,displayCompat,w
713,com.sec.android.desktopmode.uiservice,displayCompat,w
714,com.samsung.knox.securefolder,displayCompat,w
715,com.samsung.android.app.music.chn,displayCompat,w
716,com.samsung.android.app.sreminder,displayCompat,w
717,com.samsung.android.samsungpay.gear,displayCompat,w
718,com.sec.android.app.kidshome,displayCompat,w
719,com.samsung.android.kidsinstaller,displayCompat,w
720,com.sec.enterprise.knox.cloudmdm.smdms,displayCompat,w
721,com.samsung.android.MtpApplication,displayCompat,w
722,com.wssyncmldm,displayCompat,w
723,com.ws.dm,displayCompat,w
724,com.estsoft.alyac,displayCompat,w
725,uplus.membership,displayCompat,w
726,lg.uplusbox,displayCompat,w
727,com.samsung.android.smartmirroring,displayCompat,w
728,com.samsung.android.globalroaming,displayCompat,w
729,com.sec.android.app.clockpackage,displayCompat,w
730,com.samsung.android.softsim,displayCompat,w
731,com.samsung.android.kgclient,displayCompat,w
732,com.samsung.android.voc,displayCompat,w
733,com.samsung.android.rajaampat,displayCompat,w
734,com.netflix.mediaclient,displayCompat,w
735,com.samsung.android.oneconnect,displayCompat,w
736,com.samsung.android.app.watchmanager,displayCompat,w
737,com.sec.android.easyMover,displayCompat,w
738,com.samsung.android.knox.containeragent,displayCompat,w
739,com.samsung.android.retail.screensaver,displayCompat,w
740,com.samsung.rms.retailagent.global,displayCompat,w
741,com.synchronoss.dcs.att.r2g,displayCompat,w
742,com.drivemode,displayCompat,w
743,com.att.tv.watchtv,displayCompat,w
744,com.att.tv,displayCompat,w
745,com.bleacherreport.android.teamstream,displayCompat,w
746,com.cnn.mobile.android.phone,displayCompat,w
747,com.att.dtv.shaderemote,displayCompat,w
748,com.tmobile.pr.mytmobile,displayCompat,w
749,com.wsandroid.suite.tmobile,displayCompat,w
750,com.tmobile.services.nameid,displayCompat,w
751,com.att.android.attsmartwifi,displayCompat,w
752,com.samsung.android.mateagent,displayCompat,w
753,com.sec.android.UsimRegistrationKOR,displayCompat,w
754,com.att.myWireless,displayCompat,w
755,com.samsung.retailexperience.retailwinner,displayCompat,w
756,com.sec.android.app.music,displayCompat,w
757,com.sec.kidsplat.phone,displayCompat,w
758,com.samsung.android.gearoplugin,displayCompat,w
759,com.samsung.android.gearfit2plugin,displayCompat,w
760,com.samsung.android.geargplugin,displayCompat,w
761,com.samsung.android.modenplugin,displayCompat,w
762,com.samsung.android.gearpplugin,displayCompat,w
763,com.samsung.android.gear1plugin,displayCompat,w
764,com.samsung.android.gear2plugin,displayCompat,w
765,com.samsung.accessory.triathlonmgr,displayCompat,w
766,com.samsung.accessory.beansmgr,displayCompat,w
767,com.samsung.accessory.fridaymgr,displayCompat,w
768,com.sec.android.app.popupcalculator,displayCompat,w
769,com.sec.android.app.fm,displayCompat,w
770,com.sec.kidsplat.camera,displayCompat,w
771,com.sec.kidsplat.kidsgallery,displayCompat,w
772,com.sec.kidsplat.media.kidsmusic,displayCompat,w
773,com.sec.kidsplat.media.kidsmedia,displayCompat,w
774,com.sec.kidsplat.drawing,displayCompat,w
775,com.sec.kidsplat.kidstalk,displayCompat,w
776,com.sec.android.app.kids3d,displayCompat,w
777,com.sec.kidsplat.kidsbcg,displayCompat,w
778,com.sec.kidsplat.kidsbrowser,displayCompat,w
779,com.samsung.android.artstudio,displayCompat,w
780,com.samsung.android.mobileservice,displayCompat,w
781,com.mygalaxy,displayCompat,w
782,com.android.stk,displayCompat,w
783,com.android.stk2,displayCompat,w
784,com.sec.android.widgetapp.easymodecontactswidget,displayCompat,w
785,com.sec.knox.kccagent,displayCompat,w
786,com.samsung.android.lxd,displayCompat,w
787,com.samsung.android.app.notes,displayCompat,w
788,com.gameloft.android.ANMP.GloftA9HM,displayCompat,w
789,com.gameloft.android.ANMP.GloftM5HM,displayCompat,w
790,com.gameloft.android.ANMP.GloftD6HM,displayCompat,w
791,com.gameloft.android.ANMP.GloftDOHM,displayCompat,w
792,com.gameloft.android.ANMP.GloftFWHM,displayCompat,w
793,com.samsung.android.scryptowallet,displayCompat,w
794,com.sec.android.app.magnifier,displayCompat,w
795,jp.naver.line.android,displayCompat,w
796,com.kakao.talk,displayCompat,w
797,com.kt.ktauth,displayCompat,w
798,com.olleh.android.oc2,displayCompat,w
799,com.kt.aljjapackplus,displayCompat,w
800,com.olleh.webtoon,displayCompat,w
801,com.kt.android.showtouch,displayCompat,w
802,kt.navi,displayCompat,w
803,com.sec.jm.thehelper,displayCompat,w
804,com.samsung.accessibility,displayCompat,w
805,com.imo.android.imoimbeta,displayCompat,w
806,com.skt.prod.dialer,displayCompat,w
807,com.tms,displayCompat,w
808,com.skt.smartbill,displayCompat,w
809,com.sktelecom.tsmartpay,displayCompat,w
810,com.skt.skaf.OA00026910,displayCompat,w
811,com.skmc.okcashbag.home_google,displayCompat,w
812,com.gameloft.android.SAMS.GloftA9SS,displayCompat,w
813,com.tencent.tmgp.speedmobile,displayCompat,w
814,com.dti.att,displayCompat,w
815,com.samsung.android.retail.skeeper,displayCompat,w
816,com.sktelecom.tguard,displayCompat,w
817,com.gameloft.android.ANMP.Gloft5DHM,displayCompat,w
818,com.gameloft.android.ANMP.GloftGHHM,displayCompat,w
819,com.google.android.projection.gearhead,displayCompat,w
820,com.skt.t_smart_charge,displayCompat,w
821,com.skt.aladdin,displayCompat,w
822,com.netmarble.mherosgb,displayCompat,w
823,com.samsung.android.bixby.agent,displayCompat,w
824,com.samsung.android.mobilewaywallet,displayCompat,w
825,com.foxnextgames.m3,displayCompat,w
826,com.cyberlink.powerdirector.DRA140225_01,displayCompat,w
827,com.cyberlink.photodirector,displayCompat,w
828,com.ss.android.ugc.trill,displayCompat,w
829,com.handmark.sportcaster,displayCompat,w
830,air.com.rosettastone.mobile.CoursePlayer,displayCompat,w
831,com.sktelecom.minit,displayCompat,w
832,com.zhiliaoapp.musically,displayCompat,w
833,com.facebook.orca,displayCompat,w
834,com.UCMobile,displayCompat,w
835,com.netease.newsreader.activity,displayCompat,w
836,com.ss.android.ugc.aweme,displayCompat,w
837,com.rosettastone.madeforsamsung.courseplayer,displayCompat,w
838,com.handmark.sportcaster.samsung,displayCompat,w
839,com.ideashower.readitlater.pro,displayCompat,w
840,com.tencent.tmgp.pubgmhd,displayCompat,w
841,com.vng.pubgmobile,displayCompat,w
842,com.rekoo.pubgm,displayCompat,w
843,com.tencent.igce,displayCompat,w
844,com.uplus.musicshow,displayCompat,w
845,com.uplus.baseballhdtv,displayCompat,w
846,com.uplus.ugolf,displayCompat,w
847,com.uplus.onphone,displayCompat,w
848,com.sec.android.daemonapp,displayCompat,w
849,com.supercell.clashroyale,displayCompat,w
850,co.kr.uplus.arent,displayCompat,w
851,ctrip.android.view,displayCompat,w
852,com.turkcell.bip,displayCompat,w
853,com.kddi.android.auinitialsetting,displayCompat,w
854,com.kddi.android.cmail,displayCompat,w
855,com.samsung.sree,displayCompat,w
856,com.samsung.android.mdx.quickboard,displayCompat,w
857,com.gameloft.android.SAMS.GloftDLSS,displayCompat,w
858,com.hanabank.ebk.channel.android.bixbybank,displayCompat,w
859,com.wooribank.smart.dream,displayCompat,w
860,com.shinhan.sbankminiplus,displayCompat,w
861,com.gameloft.car.tycoon.game,displayCompat,w
862,com.gameloft.anmp.disney.adventure,displayCompat,w
863,com.gameloft.android.ANMP.GloftDYHM,displayCompat,w
864,com.gameloft.android.ANMP.GloftDPMF,displayCompat,w
865,com.gameloft.anmp.food.social,displayCompat,w
866,com.gameloft.android.ANMP.GloftGGHM,displayCompat,w
867,com.gameloft.anmp.lego.heroes,displayCompat,w
868,com.gameloft.android.ANMP.GloftDMHM,displayCompat,w
869,com.gameloft.android.ANMP.GloftPOHM,displayCompat,w
870,com.gameloft.android.ANMP.GloftPCHM,displayCompat,w
871,com.gameloft.android.ANMP.GloftW2HM,displayCompat,w
872,com.gameloft.android.GAND.GloftA8SS,displayCompat,w
873,com.uplus.esports,displayCompat,w
874,com.ht.cctv2remocon,displayCompat,w
875,com.samsung.kidsplay,displayCompat,w
876,com.samsung.android.app.spage,displayCompat,w
877,com.samsung.android.app.spage.beta,displayCompat,w
878,com.baidu.BaiduMap,displayCompat,w
879,com.netease.cloudmusic,displayCompat,w
880,com.samsung.android.ardrawing,displayCompat,w
881,com.samsung.android.arzone,displayCompat,w
882,com.samsung.android.livestickers,displayCompat,w
883,com.samsung.android.aremojieditor,displayCompat,w
884,com.ucmobile.lite,displayCompat,w
885,com.fenbi.android.solar,displayCompat,w
886,com.ss.android.article.video,displayCompat,w
887,cmb.pb,displayCompat,w
888,com.sina.weibolite,displayCompat,w
889,fm.qingting.qtradio,displayCompat,w
890,com.Qunar,displayCompat,w
891,com.qqgame.hlddz,displayCompat,w
892,com.netease.buff,displayCompat,w
893,com.c2vl.kgamebox,displayCompat,w
894,com.didapinche.booking,displayCompat,w
895,com.instagram.android,displayCompat,w
896,com.cubic.autohome,displayCompat,w
897,com.tmobile.echolocate,displayCompat,w
898,com.handsgo.jiakao.android,displayCompat,w
899,com.autonavi.minimap,displayCompat,w
900,com.tencent.weishi,displayCompat,w
901,com.huaxiaozhu.rider,displayCompat,w
902,com.baidu.input,displayCompat,w
903,com.nttdocomo.android.msg,displayCompat,w
904,com.fitnesskeeper.runkeeper.pro,displayCompat,w
10001,com.sec.android.app.sbrowser,multiResume,
10002,com.samsung.android.videolist,multiResume,
10003,com.samsung.android.messaging,multiResume,
10004,com.sec.android.app.voicenote,multiResume,
10005,com.facebook.katana,multiResume,
10006,com.amazon.avod.thirdpartyclient,multiResume,
10007,com.whatsapp,multiResume,
20001,com.suhyup.psmb,fixedAspectRatio,
20002,com.nono.android,fixedAspectRatio,
20003,com.didilabs.kaavefali,fixedAspectRatio,
20004,com.aps.crazy.tricky.trail.mega.bike.master,fixedAspectRatio,
20005,kr.co.dgb.dgbp,fixedAspectRatio,
20006,com.steam.photoeditor,fixedAspectRatio,
20007,com.outplaylab.VideoDiet2,fixedAspectRatio,
20008,com.google.android.apps.androidify,fixedAspectRatio,
20009,com.lm.powersecurity,fixedAspectRatio,
20010,com.ginnypix.kujicam,fixedAspectRatio,
20011,com.retown.realmanage,fixedAspectRatio,
20012,com.valvesoftware.steamlink,fixedAspectRatio,
20013,com.blizzard.wtcg.hearthstone,fixedAspectRatio,
20014,com.mimusicplayer,fixedAspectRatio,
20015,com.easyn.EasyN_P,fixedAspectRatio,
20016,com.noknok.mart,fixedAspectRatio,
20017,com.crsh.flyingmoto.robotbike,fixedAspectRatio,
20018,com.owl.predictor.mania,fixedAspectRatio,
20019,mobihome.mynameringtonemaker,fixedAspectRatio,
20020,com.flyingpig.quizhumour00,fixedAspectRatio,
20021,com.flyingpig.quizfirstword00,fixedAspectRatio,
20022,kr.co.dgb.dgbb,fixedAspectRatio,
20023,com.sankuai.meituan.merchant,fixedAspectRatio,
20024,com.tetrox.bowl,fixedAspectRatio,
20025,com.uniqlo.kr.catalogue ,fixedAspectRatio,4:03
20026,com.shilladutyfree,fixedAspectRatio,4:03
20027,com.mw.Android_KidsLove2,fixedAspectRatio,4:03
20028,com.netmarble.stonemmogb,fixedAspectRatio,4:03
20029,com.cultureland.ver2,fixedAspectRatio,4:03
20030,com.gravity.ragnarokorigin.aos,fixedAspectRatio,4:03
20031,kr.co.d2.dominos,fixedAspectRatio,4:03
20032,com.uniqlo.kr.catalogue,fixedAspectRatio,4:03
20033,com.withprize.jigsaw,fixedAspectRatio,4:03
20034,jp.co.ponos.battlecatskr,fixedAspectRatio,4:03
20035,com.bankcomm.maidanba,fixedAspectRatio,4:03
20036,air.com.mildright.AncientEmpire,fixedAspectRatio,
20037,com.doosan.newebsfm,fixedAspectRatio,
20038,com.riotgames.league.teamfighttactics,fixedAspectRatio,
20039,com.makeshop.malltail,fixedAspectRatio,
20040,kr.co.happymoney.android.happymoney,fixedAspectRatio,
20041,Kal.FlightInfo,fixedAspectRatio,
20042,com.ediya.coupon,fixedAspectRatio,
20043,com.megabrain.modagi,fixedAspectRatio,
20044,com.artifyapp.timestamp,fixedAspectRatio,
20045,com.instagram.android,fixedAspectRatio,
20046,kr.com.efun.kok.google,fixedAspectRatio,
20047,com.commsource.beautyplus,fixedAspectRatio,
20048,com.doosan.newebsfm,fixedAspectRatio,
20049,kr.com.efun.kok.google,fixedAspectRatio,
20050,com.wbc4u.www.samsungwellbeing,fixedAspectRatio,
20051,com.happypointcard.happyorder,fixedAspectRatio,
20052,com.sundaytoz.kakao.wbb,fixedAspectRatio,
20053,com.smallgiantgames.empires,fixedAspectRatio,
20054,kr.co.hanamembers.hmscustomer,fixedAspectRatio,
20055,com.visitkorea.kr,fixedAspectRatio,
20056,com.lcacApp,fixedAspectRatio,
20057,vStudio.Android.Camera360,fixedAspectRatio,
20058,com.jd.jmworkstation,fixedAspectRatio,
20059,com.linecorp.LGPKPK,fixedAspectRatio,
20060,com.aastocks.dzh,fixedAspectRatio,
20061,com.gamepub.yt.g,fixedAspectRatio,4:03
20062,com.ag.lwkr,fixedAspectRatio,
20063,kr.co.feverstudio.apps.everytown,fixedAspectRatio,
20064,com.ssfshop.app,fixedAspectRatio,
20065,com.real.tcolorring,fixedAspectRatio,
20066,com.xt.retouch,fixedAspectRatio,
20067,com.makeshop.powerapp.perspec360,fixedAspectRatio,
20068,com.cebbank.mobile.cemb,fixedAspectRatio,
20069,kr.co.dany.threelinediary,fixedAspectRatio,
20070,llbt.ccb.lnga,fixedAspectRatio,
20071,com.vipkid.app,fixedAspectRatio,
20072,com.instafit,fixedAspectRatio,
20073,com.bankofbeijing.mobilebanking,fixedAspectRatio,
20074,com.jetair.cuair,fixedAspectRatio,
20075,com.yunos.tvhelper,fixedAspectRatio,18.5:9
20076,com.audiocn.karaok,fixedAspectRatio,18.5:9
20077,com.changyou.zzb,fixedAspectRatio,18.5:9
20078,com.hupu.shihuo,fixedAspectRatio,18.5:9
20079,kr.go.cdc.nip.android,fixedAspectRatio,18.5:9
20080,com.sinovatech.unicom.ui,fixedAspectRatio,18.5:9
20081,com.baidu.searchbox,scrollFilter,
20082,com.encar.encarMobileApp,scrollFilter,
20083,com.nhn.android.navertv,scrollFilter,
20084,com.mcprohosting.beam,scrollFilter,
20085,com.lionmobi.powerclean,scrollFilter,
20086,com.kakao.page,scrollFilter,
20087,com.xvideostudio.videoeditor,scrollFilter,
20088,com.agoda.mobile.consumer,scrollFilter,
20089,com.joara.mobile,scrollFilter,
20090,com.washingtonpost.android,scrollFilter,
20091,tv.twitch.android.app,scrollFilter,
20092,com.psafe.msuite,scrollFilter,
20093,com.intsig.camscanner,scrollFilter,
20094,com.microsoft.skydrive,scrollFilter,
20095,gg.op.lol.android,scrollFilter,
20096,com.myfitnesspal.android,scrollFilter,
20097,com.showtime.standalone,scrollFilter,
20098,me.mycake,scrollFilter,
20099,com.microsoft.office.excel,scrollFilter,
20100,ctrip.english,scrollFilter,
20101,com.eg.android.alipayGphone,scrollFilter,
20102,com.cgv.android.movieapp,scrollFilter,
20103,com.nhn.android.search,scrollFilter,
20104,com.sec.android.app.sbrowser,scrollFilter,
20105,com.kakao.talk,scrollFilter,
20106,jp.naver.line.android,scrollFilter,
20107,com.taggedapp,scrollFilter,
20108,im.thebot.messenger,scrollFilter,
20109,com.android.chrome,scrollFilter,
20110,com.nhn.android.webtoon,scrollFilter,
30001,com.netflix.mediaclient,fullScreen,
30002,com.zhongduomei.rrmj.society,fullScreen,
30003,com.gotokeep.keep,fullScreen,
30004,com.dangdang.buy2,fullScreen,
30005,com.sdu.didi.psnger,fullScreen,
30006,com.autonavi.minimap,fullScreen,
30007,com.huaxiaozhu.rider,fullScreen,
30008,com.mt.mtxx.mtxx,fullScreen,
30009,com.meitu.meiyancamera,fullScreen,
30010,com.lingan.seeyou,fullScreen,
30011,com.cmbc.cc.mbank,fullScreen,
30012,com.gorgeous.lite,fullScreen,
30013,com.szzc,fullScreen,
30014,com.sohu.inputmethod.sogou,fullScreen,
30015,com.ctg.itrdc.clouddesk,fullScreen,
30016,cn.TuHu.android,fullScreen,
30017,com.netease.cloudmusic,fullScreen,
30018,com.tencent.weishi,fullScreen,
30019,com.ss.android.article.video,fullScreen,
30020,com.xingin.xhs,fullScreen,
30021,ctrip.android.view,fullScreen,
30022,com.chaoxing.mobile,fullScreen,
30023,com.ebank.creditcard,fullScreen,
30024,com.yiche.autoeasy,fullScreen,
30025,com.fenbi.android.solar,fullScreen,
30026,com.lemon.faceu,fullScreen,
30027,com.yiche.price,fullScreen,
30028,com.yuantiku.tutor,fullScreen,
30029,com.lanjingren.ivwen,fullScreen,
30030,com.baidu.input,fullScreen,
30031,com.baidu.BaiduMap,fullScreen,
30032,com.tencent.tmgp.speedmobile,fullScreen,
30033,com.cctv.yangshipin.app.androidp,fullScreen,
30034,fm.qingting.qtradio,fullScreen,
30035,com.baidu.carlife,fullScreen,
30036,cn.jj,fullScreen,
30037,com.czb.chezhubang,fullScreen,
30038,com.peopledailychina.activity,fullScreen,
30039,com.wandafilm.app,fullScreen,
30040,cn.com.hkgt.gasapp,fullScreen,
30041,com.jxedt,fullScreen,
30042,com.ss.android.homed,fullScreen,
30043,com.haidilao,fullScreen,
30044,com.letv.android.client,fullScreen,
30045,com.xunmeng.merchant,fullScreen,
30046,com.wxkj.relx.relx,fullScreen,
30047,com.liulishuo.engzo,fullScreen,
30048,com.dianshijia.tvlive,fullScreen,
30049,com.sdhs.easy.high.road,fullScreen,
30050,com.le123.ysdq,fullScreen,
30051,com.cmcc.hebao,fullScreen,
30052,com.wodi.who,fullScreen,
30053,com.cn21.ecloud,fullScreen,
30054,com.ihaozhuo.youjiankang,fullScreen,
30055,com.meitu.meipaimv,fullScreen,
30056,com.fenbi.android.zenglish,fullScreen,
30057,com.supercell.clashofclans.uc,fullScreen,
30058,com.xintiaotime.yoy,fullScreen,
30059,com.ks.kaishustory,fullScreen,
30060,com.iflytek.elpmobile.smartlearning,fullScreen,
30061,com.intsig.BizCardReader,fullScreen,
30062,com.jifen.qukan,fullScreen,
30063,com.mosoink.teach,fullScreen,
30064,com.renrenche.carapp,fullScreen,
30065,com.duokan.phone.remotecontroller,fullScreen,
30066,com.tencent.mxdl,fullScreen,
30067,com.mfp.jelly.samsung,fullScreen,
30068,com.xes.jazhanghui.activity,fullScreen,
30069,com.jingcai.apps.qualitydev,fullScreen,
30070,com.camerasideas.instashot,fullScreen,
30071,com.netease.pes,fullScreen,
30072,com.telecom.video,fullScreen,
30073,com.seewo.easicare.pro,fullScreen,
30074,com.ophone.reader.ui,fullScreen,
30075,com.ea.simcitymobile.samsung,fullScreen,
30076,com.blink.academy.nomo,fullScreen,
30077,com.zhenai.android,fullScreen,
30078,com.supercell.clashroyale.uc,fullScreen,
30079,com.hongen.app.word,fullScreen,
30080,com.yaya.mmbang,fullScreen,
30081,com.mubu.app,fullScreen,
30082,com.kidswant.ss,fullScreen,
30083,com.shoujiduoduo.dj,fullScreen,
30084,com.supercell.boombeach.uc,fullScreen,
30085,com.jiankecom.jiankemall,fullScreen,
30086,com.lu.ashionweather,fullScreen,
30087,com.happyteam.dubbingshow,fullScreen,
30088,com.ninexiu.sixninexiu,fullScreen,
30089,com.tencent.lycq2,fullScreen,
30090,com.corp21cn.mail189,fullScreen,
30091,com.tencent.fifamobile,fullScreen,
30092,com.suirui.zhumu,fullScreen,
30093,com.xiaobanlong.main,fullScreen,
30094,cn.eeo.classin,fullScreen,
30095,com.tencent.tmgp.bh3,fullScreen,
30096,com.ledou.mhjy.samsung,fullScreen,
30097,com.bokecc.dance,fullScreen,
30098,cn.xdf.woxue.student,fullScreen,
30099,io.moreless.tide,fullScreen,
30100,com.f100.android,fullScreen,
30101,com.suning.mobile.epa,fullScreen,
30102,com.qihoo.dr,fullScreen,
30103,com.rt.market.fresh,fullScreen,
30104,com.lu.ashionweatherbanner,fullScreen,
30105,com.plan.kot32.tomatotime,fullScreen,
30106,com.ss.android.ugc.livelite,fullScreen,
30107,com.huawei.health,fullScreen,
30108,com.drcuiyutao.babyhealth,fullScreen,
30109,com.huawei.health,fullScreen,
30110,com.drcuiyutao.babyhealth,fullScreen,
30111,com.haodf.android,fullScreen,
30112,com.chinamworld.main,fullScreen,
30113,com.happyelements.AndroidAnimal,fullScreen,
30114,com.happyelements.AndroidAnimal.qq,fullScreen,
40001,com.linecorp.b612.android,flexModeApp,flip
40002,com.snowcorp.soda.android,flexModeApp,flip
40003,com.campmobile.snow,flexModeApp,flip
40004,com.google.android.apps.tachyon,flexModeApp,
40005,com.skt.prod.together,flexModeApp,
40006,com.frograms.wplay,flexModeApp,fold
40007,kr.co.captv.pooqV2,flexModeApp,
40008,com.google.android.youtube,flexModeApp,
40009,com.neowiz.android.bugs,flexModeApp,
40010,com.ktmusic.geniemusic,flexModeApp,
40011,com.joeware.android.gpulumera,flexModeApp,
40012,com.samsung.android.tvplus,flexModeApp,
40013,com.sec.android.gallery3d,flexModeApp,
40014,com.sec.android.app.clockpackage,flexModeApp,fold
40015,com.samsung.android.calendar,flexModeApp,
40016,com.sec.android.app.popupcalculator,flexModeApp,fold
40017,com.sec.android.app.camera,flexModeApp,
40018,com.samsung.android.video,flexModeApp,
40019,com.sec.android.app.sbrowser,flexModeApp,
40020,com.sec.android.app.sbrowser.beta,flexModeApp,
40021,com.samsung.android.incallui,flexModeApp,
40022,com.samsung.android.app.spage,flexModeApp,
40023,com.sec.android.app.shealth,flexModeApp,fold
40024,com.samsung.android.aremoji,flexModeApp,
40025,com.samsung.android.livestickers,flexModeApp,
40026,com.samsung.android.ardrawing,flexModeApp,
40027,com.samsung.android.dialer,flexModeApp,fold
40028,com.duowan.kiwi,flexModeApp,
40029,air.tv.douyu.android,flexModeApp,
40030,com.qiyi.video,flexModeApp,fold
40031,com.babycloud.hanju,flexModeApp,fold
40032,com.kt.otv,flexModeApp,flip
40033,com.banqu.samsung.music,flexModeApp,
40034,com.ss.android.auto,flexModeApp,fold
40035,cn.wps.moffice_eng,flexModeApp,fold
40036,skplanet.musicmate,flexModeApp,
40037,us.zoom.videomeetings,flexModeApp,
40038,com.skt.prod.dialer,flexModeApp,flip
40039,com.kt.streamgame,flexModeApp,fold
40040,com.uplus.onphone,flexModeApp,
50001,com.hulu.plus,ignoreAppRotation,
50002,com.truecaller,ignoreAppRotation,
50003,com.ubercab,ignoreAppRotation,
50004,com.zzkko,ignoreAppRotation,
50005,com.particlenews.newsbreak,ignoreAppRotation,
